N,P,K,temperature,humidity,ph,rainfall,label
99.27,24.11,52.3,27.33,95.91,6.09,24.69,muskmelon
92.99,30.01,48.38,23.41,80.43,6.45,52.48,watermelon
60.69,54.71,50.24,43.56,89.48,6.44,180.68,papaya
37.15,55.46,45.86,38.31,91.43,6.44,172.91,papaya
23.59,134.99,195.61,21.97,95.71,5.58,116.61,apple
33.66,26.54,25.23,29.85,48.34,5.13,90.73,mango
10.21,128.62,204.29,22.82,92.13,5.84,110.48,apple
11.14,32.36,18.25,28.24,56.84,4.55,58.06,mothbeans
28.39,59.33,17.79,30.74,85.15,6.56,47.31,mungbean
17.0,59.73,21.45,26.19,63.74,7.22,47.01,lentil
50.45,58.52,20.6,27.92,65.98,7.06,76.14,blackgram
30.76,20.5,29.26,27.25,95.74,5.69,212.45,coconut
20.23,25.0,47.05,20.76,95.2,6.98,109.85,pomegranate
78.09,54.8,43.12,22.63,82.0,6.27,160.52,jute
31.82,9.19,25.63,24.74,94.33,5.24,138.82,coconut
22.51,32.47,38.24,24.9,92.61,6.96,107.79,pomegranate
30.57,127.89,202.22,25.18,94.06,5.46,99.56,apple
78.15,54.31,23.85,26.22,65.09,6.51,55.21,maize
57.17,61.24,51.45,43.22,90.24,6.99,87.13,papaya
100.32,21.14,47.93,29.72,96.53,6.18,21.03,muskmelon
99.58,32.81,30.58,25.03,54.23,7.53,129.65,coffee
32.31,72.04,49.29,25.67,90.98,6.94,60.06,papaya
28.84,9.13,10.68,23.27,92.86,6.46,109.39,orange
47.3,66.79,51.96,29.43,90.68,6.67,47.5,papaya
20.11,63.45,77.59,19.27,18.35,7.52,72.37,chickpea
92.16,55.52,42.77,25.16,85.76,7.5,172.07,jute
24.26,54.22,19.24,27.07,82.74,6.48,50.05,mungbean
25.63,25.67,3.98,30.33,91.25,7.59,118.84,orange
11.83,81.18,21.34,20.49,51.55,4.96,150.85,pigeonpeas
81.06,49.87,45.0,25.43,81.2,6.44,216.98,rice
35.86,23.74,38.8,23.93,92.76,6.74,112.85,pomegranate
23.77,49.52,17.4,29.78,58.41,4.01,40.74,mothbeans
93.78,46.75,38.12,24.86,76.51,6.85,158.32,jute
35.36,74.09,27.87,20.2,60.23,7.62,42.16,lentil
88.36,46.56,43.57,24.75,78.91,6.19,184.07,jute
49.14,61.0,21.5,29.93,70.82,7.66,60.49,blackgram
69.38,51.54,38.92,23.06,74.23,6.53,167.36,jute
40.7,56.8,79.19,17.25,17.11,8.54,68.75,chickpea
27.76,71.68,83.1,17.18,16.44,7.46,94.23,chickpea
21.96,75.75,17.65,22.75,23.75,5.81,57.84,kidneybeans
38.23,68.79,46.95,33.32,90.93,6.82,158.71,papaya
39.22,22.74,35.91,27.98,49.34,6.15,88.78,mango
51.21,63.88,25.4,25.48,59.96,7.39,75.97,blackgram
63.15,46.46,20.46,26.16,64.97,6.76,78.32,maize
13.06,56.24,21.06,28.67,90.61,6.59,42.13,mungbean
91.91,38.93,21.44,25.5,60.25,5.75,96.02,maize
32.82,64.01,19.25,26.03,41.64,5.62,103.98,pigeonpeas
26.29,16.74,27.99,28.02,97.12,6.13,182.13,coconut
100.36,20.12,51.84,29.89,91.9,6.76,25.81,muskmelon
70.3,39.92,21.23,22.49,59.45,5.99,95.03,maize
55.71,78.61,21.24,26.6,67.32,7.53,71.84,blackgram
